class,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
pushup,0.6236432790756226,0.39563626050949097,0.06840734928846359,0.8985887765884399,0.6328573226928711,0.38242194056510925,0.07085947692394257,0.843508780002594,0.632301926612854,0.382345587015152,0.07069917023181915,0.8575173020362854,0.6321170330047607,0.380058228969574,0.07069218903779984,0.8815399408340454,0.6304925084114075,0.3723958432674408,0.03634544461965561,0.8767383098602295,0.627995491027832,0.3663817048072815,0.03625819832086563,0.8844442963600159,0.6256765127182007,0.3590052127838135,0.035801541060209274,0.8793346881866455,0.6181778311729431,0.3515470325946808,0.10125784575939178,0.9073822498321533,0.6070672869682312,0.3286851942539215,-0.062393639236688614,0.8667904138565063,0.6126963496208191,0.39522314071655273,0.08349136263132095,0.9586175680160522,0.6093702912330627,0.38343095779418945,0.03649265319108963,0.938865065574646,0.5867551565170288,0.3434593379497528,0.12131552398204803,0.9960718154907227,0.5406671762466431,0.29003143310546875,-0.12751170992851257,0.9939104318618774,0.497575968503952,0.4662569761276245,0.19041672348976135,0.5575138926506042,0.3569582998752594,0.34906768798828125,-0.2040720134973526,0.892368495464325,0.5014620423316956,0.646591305732727,0.1408117264509201,0.7930500507354736,0.3191487491130829,0.5134983658790588,-0.20450946688652039,0.8721922039985657,0.5217816829681396,0.6873196363449097,0.13125629723072052,0.7504611611366272,0.30075836181640625,0.5548268556594849,-0.20396442711353302,0.8544892072677612,0.5198109149932861,0.6937668323516846,0.09592719376087189,0.7698286771774292,0.3028588891029358,0.5557663440704346,-0.21884773671627045,0.8582583665847778,0.5183794498443604,0.6909524202346802,0.1223478838801384,0.7754096388816833,0.3109113276004791,0.5464673042297363,-0.20751266181468964,0.8422409892082214,0.31007814407348633,0.44807517528533936,0.09943915903568268,0.9522539377212524,0.27816855907440186,0.44971320033073425,-0.09946419298648834,0.9728275537490845,0.27378252148628235,0.44860148429870605,0.3080446124076843,0.1711922138929367,0.20284835994243622,0.4935387074947357,0.008131686598062515,0.5704549551010132,0.12913508713245392,0.5905394554138184,0.34792712330818176,0.1313774436712265,0.07843887805938721,0.6060963869094849,0.06278706341981888,0.4164319932460785,0.08764493465423584,0.6018664836883545,0.3484237492084503,0.147075816988945,0.057666707783937454,0.58735591173172,0.07744951546192169,0.3226180076599121,0.08807834982872009,0.6687280535697937,0.3478640913963318,0.2526598274707794,0.05587482824921608,0.675786018371582,0.06045057252049446,0.39633432030677795
pushup,0.6326786875724792,0.4099928140640259,-0.1514083296060562,0.9013662934303284,0.6423870325088501,0.3901367485523224,-0.15758463740348816,0.8493533134460449,0.6419116854667664,0.3873591423034668,-0.15759523212909698,0.8637542128562927,0.6416181325912476,0.38446101546287537,-0.1576574742794037,0.8840115666389465,0.6405372619628906,0.3860252797603607,-0.18551316857337952,0.8803666234016418,0.6388922333717346,0.38087013363838196,-0.18537673354148865,0.888418972492218,0.6367629170417786,0.3740854859352112,-0.18550372123718262,0.8795148730278015,0.6247356534004211,0.35655534267425537,-0.11926673352718353,0.9076295495033264,0.6202352643013,0.34885919094085693,-0.2525501251220703,0.8633499145507812,0.6160708069801331,0.40288618206977844,-0.1290440410375595,0.9588208198547363,0.6131883263587952,0.39666470885276794,-0.16667048633098602,0.9393199682235718,0.5831606388092041,0.3418605625629425,-0.04277019947767258,0.9956820011138916,0.5773904323577881,0.3279378414154053,-0.27212297916412354,0.9934734106063843,0.5168660283088684,0.5231378078460693,0.051430609077215195,0.5444679856300354,0.5110570788383484,0.4747888147830963,-0.31344085931777954,0.8812772631645203,0.538050651550293,0.7538027167320251,0.037767697125673294,0.7807480692863464,0.5208341479301453,0.5929407477378845,-0.27118629217147827,0.8533169627189636,0.5579839944839478,0.7791290283203125,0.028883876278996468,0.7432761192321777,0.519837498664856,0.6379828453063965,-0.2886727750301361,0.8357157111167908,0.558185875415802,0.7826036810874939,-0.010747699066996574,0.7618651390075684,0.5176852941513062,0.6326888203620911,-0.28144359588623047,0.8382452130317688,0.5526193380355835,0.7803806066513062,0.01928234100341797,0.7669732570648193,0.5153757333755493,0.6216363310813904,-0.27009519934654236,0.822437584400177,0.33410173654556274,0.4801589846611023,0.09819120913743973,0.9552063345909119,0.3151811957359314,0.5006043910980225,-0.0982540100812912,0.974511444568634,0.25088295340538025,0.5447049140930176,0.3154337704181671,0.19361402094364166,0.20760640501976013,0.5602269768714905,0.0571330301463604,0.6065655946731567,0.14244116842746735,0.6061235666275024,0.4535626471042633,0.18604974448680878,0.08816863596439362,0.6247177124023438,0.16346152126789093,0.46942809224128723,0.09236015379428864,0.5928177237510681,0.46600541472435,0.211480975151062,0.043540794402360916,0.5966503620147705,0.17850683629512787,0.3841307759284973,0.11424289643764496,0.6759936809539795,0.4934874475002289,0.29848524928092957,0.08594153821468353,0.6879957914352417,0.1642087996006012,0.4449958801269531
pushup,0.6432474255561829,0.4812420904636383,-0.23481091856956482,0.910971999168396,0.6583646535873413,0.46911484003067017,-0.23338501155376434,0.8641231060028076,0.6594805121421814,0.4700270891189575,-0.2333916276693344,0.8771612644195557,0.660749077796936,0.4712674021720886,-0.23348382115364075,0.8953448534011841,0.6562654972076416,0.4552347958087921,-0.26414963603019714,0.8919987082481384,0.655297577381134,0.44531142711639404,-0.2640608251094818,0.8992640376091003,0.6544763445854187,0.43610382080078125,-0.26401442289352417,0.8909410834312439,0.6499645709991455,0.43700987100601196,-0.16021521389484406,0.9166428446769714,0.6382939219474792,0.3979516327381134,-0.3051395118236542,0.8762203454971313,0.6302518844604492,0.47520384192466736,-0.200420081615448,0.9627891182899475,0.6268879771232605,0.45822665095329285,-0.24139946699142456,0.9451468586921692,0.6093577146530151,0.3895297944545746,-0.09443215280771255,0.9960677027702332,0.5791770815849304,0.34677422046661377,-0.29071420431137085,0.9939146041870117,0.584513247013092,0.567560076713562,0.010905974544584751,0.5804869532585144,0.5097867846488953,0.44444721937179565,-0.312065988779068,0.8862603902816772,0.5830488801002502,0.7858608365058899,-0.016108456999063492,0.8005079627037048,0.5605109333992004,0.5378552079200745,-0.2705775201320648,0.8523301482200623,0.6163390278816223,0.7968248128890991,-0.025972893461585045,0.7653768658638,0.5726274847984314,0.5581101179122925,-0.29427582025527954,0.8311088681221008,0.6170751452445984,0.7984376549720764,-0.07759963721036911,0.7823033928871155,0.58289635181427,0.5285229682922363,-0.29373699426651,0.8330253958702087,0.594895601272583,0.7968588471412659,-0.0377374067902565,0.7867714166641235,0.5762078762054443,0.5231332182884216,-0.27482783794403076,0.8157221674919128,0.35377079248428345,0.494156152009964,0.10206876695156097,0.9592017531394958,0.31570425629615784,0.46121230721473694,-0.10232938081026077,0.9766740798950195,0.25852933526039124,0.5699387788772583,0.33310025930404663,0.2161051630973816,0.20264770090579987,0.5504689812660217,0.08983857929706573,0.643950343132019,0.14844995737075806,0.6130514740943909,0.5470393896102905,0.2330136001110077,0.08478417247533798,0.6132301688194275,0.26933977007865906,0.5206377506256104,0.11985602974891663,0.5905588865280151,0.5692155361175537,0.2600805163383484,0.059959158301353455,0.5794826149940491,0.2910213768482208,0.44046342372894287,0.1395038664340973,0.7020251154899597,0.5735045075416565,0.35983097553253174,0.08957872539758682,0.7239619493484497,0.2391662895679474,0.4974430799484253
pushup,0.6485878229141235,0.48084619641304016,-0.15142689645290375,0.919799268245697,0.666631281375885,0.47085779905319214,-0.14248842000961304,0.877626895904541,0.6681797504425049,0.47113609313964844,-0.14246173202991486,0.8893733024597168,0.669806718826294,0.47100892663002014,-0.14257749915122986,0.9057368040084839,0.6635141372680664,0.45731818675994873,-0.17359714210033417,0.9027061462402344,0.6632798910140991,0.44810739159584045,-0.17347213625907898,0.9092481732368469,0.6625115275382996,0.43791842460632324,-0.17334644496440887,0.9017071723937988,0.6634666919708252,0.4398421347141266,-0.06440646201372147,0.9249154329299927,0.6514917612075806,0.40260058641433716,-0.20881447196006775,0.8884108662605286,0.6363803744316101,0.475053071975708,-0.11684724688529968,0.9664613604545593,0.6330276727676392,0.4590184986591339,-0.15791873633861542,0.9505628347396851,0.5971729755401611,0.42282623052597046,-0.018057931214571,0.9964005947113037,0.5957854986190796,0.3507722020149231,-0.2117902785539627,0.9942737817764282,0.5859288573265076,0.6277176737785339,0.05726887285709381,0.6101045608520508,0.5612741708755493,0.3883242905139923,-0.2587555944919586,0.8929014205932617,0.5970012545585632,0.7816543579101562,0.017298182472586632,0.8152575492858887,0.6199114322662354,0.3898591697216034,-0.22657091915607452,0.8554607033729553,0.6221795678138733,0.7936766147613525,0.0025755695533007383,0.7808968424797058,0.6333752870559692,0.3921714723110199,-0.2445612996816635,0.8311923146247864,0.6253105401992798,0.795114278793335,-0.036981623619794846,0.7967607378959656,0.6435137987136841,0.371102899312973,-0.252669095993042,0.8327032923698425,0.6122419834136963,0.7944494485855103,-0.0023407877888530493,0.8008692860603333,0.6359277367591858,0.36970993876457214,-0.23374852538108826,0.8151260018348694,0.3440089225769043,0.4809219241142273,0.1016218289732933,0.9630072116851807,0.3202264904975891,0.46497759222984314,-0.10171350836753845,0.9787729382514954,0.2338731735944748,0.5807951092720032,0.24973702430725098,0.26730144023895264,0.19422468543052673,0.5737093687057495,0.06222641095519066,0.6785638332366943,0.11857593059539795,0.609824538230896,0.3883671462535858,0.297109454870224,0.07522951066493988,0.6240271925926208,0.1736118346452713,0.5674352645874023,0.09098473936319351,0.5876452326774597,0.40100106596946716,0.3240814208984375,0.04854242131114006,0.5983176827430725,0.18557532131671906,0.4938938319683075,0.09706093370914459,0.7252168655395508,0.3908868134021759,0.4167965054512024,0.06797996908426285,0.7070819735527039,0.14160063862800598,0.5448673963546753
pushup,0.6484308242797852,0.44505688548088074,-0.18131758272647858,0.9277670979499817,0.6581858396530151,0.42002835869789124,-0.17526313662528992,0.8898032307624817,0.659127414226532,0.418399453163147,-0.1753097027540207,0.9003781080245972,0.6601743698120117,0.41621285676956177,-0.17547495663166046,0.9151114821434021,0.6538511514663696,0.41340261697769165,-0.20572105050086975,0.9123886227607727,0.651778519153595,0.407304972410202,-0.20567184686660767,0.91827791929245,0.6497890949249268,0.40072593092918396,-0.20557650923728943,0.9114755988121033,0.6460737586021423,0.3909321129322052,-0.11003678292036057,0.932353138923645,0.6322716474533081,0.37378013134002686,-0.24871791899204254,0.8994700908660889,0.6377842426300049,0.44957250356674194,-0.15147119760513306,0.9697877764701843,0.6321537494659424,0.4413622319698334,-0.19112756848335266,0.9554699063301086,0.587812602519989,0.39065074920654297,-0.0357699878513813,0.9967116117477417,0.5714907050132751,0.3870188891887665,-0.28869426250457764,0.9947706460952759,0.5912868976593018,0.5862767696380615,0.02970380336046219,0.639917254447937,0.5138973593711853,0.5696194767951965,-0.3103163540363312,0.9029248356819153,0.5803144574165344,0.7846892476081848,0.0070902700535953045,0.8320905566215515,0.5332098007202148,0.7417467832565308,-0.28750601410865784,0.8679636716842651,0.6185280084609985,0.7885268330574036,-0.025050219148397446,0.7999938726425171,0.5643526911735535,0.7657450437545776,-0.29298847913742065,0.8442551493644714,0.6202908158302307,0.7900732755661011,-0.05074634402990341,0.8143506050109863,0.5764076113700867,0.749498724937439,-0.3217245936393738,0.8453004956245422,0.600554347038269,0.7914073467254639,-0.019536226987838745,0.8177034258842468,0.5670710206031799,0.7408419847488403,-0.2948012948036194,0.8281875848770142,0.34183236956596375,0.4748004972934723,0.10177839547395706,0.9665506482124329,0.32016506791114807,0.47426390647888184,-0.10195890814065933,0.9807867407798767,0.2341378629207611,0.5822545289993286,0.2735951542854309,0.28845009207725525,0.2061236947774887,0.5813316702842712,0.07539403438568115,0.7078146934509277,0.11481291800737381,0.6243715882301331,0.4545861482620239,0.3439188003540039,0.08313117176294327,0.635152280330658,0.2360997498035431,0.6094151139259338,0.0892120823264122,0.6181839108467102,0.47279056906700134,0.37237057089805603,0.05528944730758667,0.6308939456939697,0.2522744834423065,0.5415596961975098,0.11995451152324677,0.7065771222114563,0.4716515839099884,0.4685639441013336,0.09096262603998184,0.709841251373291,0.20375648140907288,0.58795565366745
pushup,0.6556603908538818,0.470315545797348,-0.22689960896968842,0.9349526166915894,0.6628463268280029,0.43555688858032227,-0.22682593762874603,0.9007815718650818,0.663793683052063,0.43256038427352905,-0.22690428793430328,0.9102988839149475,0.6647505164146423,0.42903658747673035,-0.2270992249250412,0.9235686659812927,0.6563748121261597,0.43209999799728394,-0.2572210431098938,0.9211198687553406,0.652919590473175,0.42699486017227173,-0.25721123814582825,0.9264200925827026,0.6496345400810242,0.4213498532772064,-0.2572231590747833,0.9202911257743835,0.6470867991447449,0.4039958417415619,-0.15738964080810547,0.9390714764595032,0.6299806237220764,0.3978627324104309,-0.2975221574306488,0.9094626903533936,0.6465869545936584,0.4777688980102539,-0.19339866936206818,0.9727893471717834,0.6393676996231079,0.4722665548324585,-0.23057205975055695,0.9598973393440247,0.6086627244949341,0.39848220348358154,-0.06909121572971344,0.9969685077667236,0.5544936656951904,0.43429404497146606,-0.3110674321651459,0.9952295422554016,0.6164831519126892,0.5700898766517639,0.01158080529421568,0.6574895977973938,0.4917086362838745,0.626285195350647,-0.38634926080703735,0.9122778177261353,0.6097013354301453,0.7703508138656616,-0.05642141401767731,0.8450616598129272,0.5132555365562439,0.7846111059188843,-0.3508748412132263,0.8793166875839233,0.6376667618751526,0.7783511281013489,-0.08185978978872299,0.8137355446815491,0.5389195084571838,0.7973082065582275,-0.3965235948562622,0.8555594086647034,0.6365212798118591,0.7823786735534668,-0.11312015354633331,0.8268001675605774,0.5568475127220154,0.789242684841156,-0.3898780941963196,0.8560926914215088,0.6202710866928101,0.7825602293014526,-0.07710859179496765,0.8296735286712646,0.5449494123458862,0.7880436778068542,-0.3533822000026703,0.8395066261291504,0.3493633568286896,0.4717959463596344,0.10638406872749329,0.9696747064590454,0.3178205192089081,0.48512187600135803,-0.10658536106348038,0.9825863838195801,0.23753179609775543,0.5782806277275085,0.28470632433891296,0.2917635142803192,0.21211114525794983,0.5822478532791138,0.08329840004444122,0.7350780367851257,0.12222181260585785,0.6223183274269104,0.4804246127605438,0.37868955731391907,0.08839510381221771,0.6367402672767639,0.25554829835891724,0.6476383209228516,0.09666426479816437,0.614973783493042,0.4994043707847595,0.4064955413341522,0.0591435432434082,0.6326190233230591,0.27215078473091125,0.584918737411499,0.13132107257843018,0.702629566192627,0.49984925985336304,0.5143290758132935,0.10111840069293976,0.715178906917572,0.22275890409946442,0.6275493502616882
pushup,0.6511191129684448,0.4729769825935364,-0.2347157746553421,0.9414260387420654,0.6593501567840576,0.4433099627494812,-0.22884231805801392,0.9106682538986206,0.6602211594581604,0.4409293830394745,-0.22889593243598938,0.9192327857017517,0.6611081957817078,0.4381024241447449,-0.22908981144428253,0.9311823844909668,0.6539046764373779,0.439441055059433,-0.2605177164077759,0.9289852976799011,0.6511157751083374,0.4345219135284424,-0.2605349123477936,0.9337556958198547,0.6485375761985779,0.42931315302848816,-0.2605127692222595,0.9282358884811401,0.6448408365249634,0.41142502427101135,-0.15848730504512787,0.9451231956481934,0.6318174004554749,0.40501469373703003,-0.3020501434803009,0.9184765815734863,0.6419751048088074,0.4779917895793915,-0.20263713598251343,0.9754949808120728,0.6353408694267273,0.47226816415786743,-0.24274635314941406,0.9638904929161072,0.5986630916595459,0.40988975763320923,-0.0697154849767685,0.9971977472305298,0.5571956634521484,0.43143507838249207,-0.31272217631340027,0.9956735372543335,0.6188465356826782,0.5775253772735596,0.006048137787729502,0.6742552518844604,0.48584094643592834,0.6150894165039062,-0.3941460847854614,0.9207949042320251,0.6148887872695923,0.7721204161643982,-0.05771343782544136,0.856455385684967,0.504751980304718,0.7978857159614563,-0.35442495346069336,0.8900935053825378,0.6371705532073975,0.7827438712120056,-0.08026519417762756,0.825843870639801,0.5240452289581299,0.8099357485771179,-0.4043169319629669,0.8668469190597534,0.6355525255203247,0.7856676578521729,-0.11452770233154297,0.837760865688324,0.5403751134872437,0.8067929148674011,-0.39158549904823303,0.8669935464859009,0.6207745671272278,0.7843184471130371,-0.07790271192789078,0.8401234745979309,0.532882571220398,0.8041906952857971,-0.3549504280090332,0.8510130643844604,0.34798479080200195,0.4733971059322357,0.10680747777223587,0.9724739789962769,0.3179053068161011,0.47881513833999634,-0.10699222981929779,0.9842241406440735,0.24223610758781433,0.5843175053596497,0.2894814610481262,0.30346712470054626,0.21500574052333832,0.5816077589988708,0.08672298491001129,0.7599409222602844,0.12779738008975983,0.6270278096199036,0.48348790407180786,0.41477951407432556,0.0875910222530365,0.6339254975318909,0.2562599778175354,0.6821632385253906,0.1063036397099495,0.6216304898262024,0.5029314756393433,0.44168463349342346,0.06285105645656586,0.6299178004264832,0.2710796892642975,0.6243150234222412,0.13601785898208618,0.7059586644172668,0.5045533776283264,0.5569365620613098,0.10425421595573425,0.7178266048431396,0.2230628877878189,0.6634148359298706
pushup,0.6493459939956665,0.5075407028198242,-0.2910975217819214,0.9472674131393433,0.6577584743499756,0.47668594121932983,-0.2808420956134796,0.9195848107337952,0.6589983701705933,0.47328242659568787,-0.28086861968040466,0.9272924065589905,0.660144031047821,0.4693661332130432,-0.2811099588871002,0.9380509853363037,0.6513128876686096,0.4726743996143341,-0.31477004289627075,0.9360747337341309,0.6482254266738892,0.46619412302970886,-0.3148185908794403,0.9403679966926575,0.6451709866523743,0.4591294825077057,-0.31471920013427734,0.9353982210159302,0.6439421772956848,0.43184012174606323,-0.20031069219112396,0.950592041015625,0.6277686357498169,0.4243685305118561,-0.3524007797241211,0.9266085624694824,0.6406022906303406,0.5090480446815491,-0.25637948513031006,0.9779369235038757,0.6335862874984741,0.5032971501350403,-0.2995354235172272,0.9674912095069885,0.6063138246536255,0.4183165431022644,-0.11155271530151367,0.9974363446235657,0.5471766591072083,0.4524577856063843,-0.37891995906829834,0.9960665702819824,0.6245571970939636,0.5830344557762146,-0.037643302232027054,0.6930232644081116,0.48543044924736023,0.5852296352386475,-0.43669986724853516,0.9284713864326477,0.6188145279884338,0.7663823366165161,-0.10860104113817215,0.8673118352890015,0.5003719925880432,0.8006930947303772,-0.39368388056755066,0.8996248245239258,0.645463228225708,0.7777776122093201,-0.13335438072681427,0.8373852968215942,0.5175454020500183,0.8142214417457581,-0.44566312432289124,0.8766082525253296,0.6403505206108093,0.7813445329666138,-0.16820667684078217,0.8482909202575684,0.532887876033783,0.8107829689979553,-0.4349138140678406,0.8764119148254395,0.6247026324272156,0.7790778279304504,-0.12753626704216003,0.8502033352851868,0.5269037485122681,0.8068529963493347,-0.3943357765674591,0.8607871532440186,0.3517274558544159,0.4788072407245636,0.1067114993929863,0.9750499725341797,0.3179873526096344,0.49024659395217896,-0.10691262036561966,0.9857082962989807,0.2445143759250641,0.5813000798225403,0.290738970041275,0.3186933994293213,0.21526242792606354,0.5833671689033508,0.09306605160236359,0.78254234790802,0.1289907991886139,0.6267999410629272,0.48465242981910706,0.44661572575569153,0.08960963785648346,0.6386253237724304,0.2624548077583313,0.7132928967475891,0.1047067940235138,0.6221000552177429,0.5040203928947449,0.471453458070755,0.06351016461849213,0.636380672454834,0.27857547998428345,0.6599584817886353,0.13444402813911438,0.7099217772483826,0.5018900632858276,0.5948573350906372,0.10391151905059814,0.7298699617385864,0.2285781055688858,0.6958417892456055
pushup,0.655800998210907,0.4976244270801544,-0.32538923621177673,0.9525271654129028,0.6630851030349731,0.46963006258010864,-0.31528082489967346,0.9276115298271179,0.6642025113105774,0.4665699601173401,-0.3153294324874878,0.9345484375953674,0.6653248071670532,0.4632408320903778,-0.31556251645088196,0.9442346096038818,0.6564052700996399,0.46699920296669006,-0.3470190465450287,0.9424555897712708,0.6530959606170654,0.4617982506752014,-0.3470686078071594,0.9463194608688354,0.6499406099319458,0.4563174545764923,-0.34697484970092773,0.9418440461158752,0.6481651663780212,0.43323463201522827,-0.23095594346523285,0.9555150270462036,0.6315152049064636,0.429673433303833,-0.37332361936569214,0.9339240789413452,0.6474433541297913,0.5012021064758301,-0.2891486585140228,0.9801349639892578,0.6399170756340027,0.4973849356174469,-0.3297276198863983,0.9707307815551758,0.6172564625740051,0.42865344882011414,-0.13563427329063416,0.9976573586463928,0.5435531139373779,0.46133384108543396,-0.39203932881355286,0.9964034557342529,0.6191307306289673,0.5855785608291626,-0.059519633650779724,0.71027010679245,0.46507489681243896,0.6334254145622253,-0.4293314218521118,0.9353159666061401,0.611352264881134,0.7680386304855347,-0.1296050250530243,0.8784530162811279,0.4970173239707947,0.7928507924079895,-0.3869399428367615,0.9082769751548767,0.6366583704948425,0.7785758972167969,-0.15415428578853607,0.8499062061309814,0.5153237581253052,0.8103716969490051,-0.43753543496131897,0.885662317276001,0.6327046751976013,0.781096875667572,-0.19241294264793396,0.8598873019218445,0.531342089176178,0.8067992329597473,-0.4307829737663269,0.8852124810218811,0.6163530349731445,0.7793867588043213,-0.1491825133562088,0.8614630699157715,0.5240246653556824,0.8026101589202881,-0.3893602192401886,0.8701380491256714,0.3610210120677948,0.49193182587623596,0.10592283308506012,0.9773802757263184,0.3243074119091034,0.49540358781814575,-0.10611318796873093,0.9870463609695435,0.25237759947776794,0.5832386612892151,0.2916663885116577,0.32708221673965454,0.22810935974121094,0.5834517478942871,0.10026001185178757,0.8027308583259583,0.13506728410720825,0.626274585723877,0.4871547818183899,0.47271397709846497,0.09635060280561447,0.6361427307128906,0.2653774321079254,0.7412980198860168,0.1108081191778183,0.6209639310836792,0.5068733096122742,0.49524548649787903,0.06903333961963654,0.6328533291816711,0.2823760211467743,0.6917576193809509,0.1382620930671692,0.7073801755905151,0.5048179626464844,0.6283916234970093,0.1090153306722641,0.7241181135177612,0.23052659630775452,0.7249675989151001
pushup,0.6647306084632874,0.5174700617790222,-0.31183433532714844,0.9572612643241882,0.6709276437759399,0.4901418089866638,-0.30333465337753296,0.9348348379135132,0.6716605424880981,0.4872431457042694,-0.30337950587272644,0.9410778880119324,0.672320544719696,0.4840940833091736,-0.3035973608493805,0.9497993588447571,0.6652566194534302,0.48627668619155884,-0.3345319330692291,0.9481978416442871,0.662162721157074,0.48030468821525574,-0.3345549404621124,0.9516746997833252,0.6591624021530151,0.47390666604042053,-0.334482342004776,0.9476444721221924,0.6561554074287415,0.45074403285980225,-0.22371678054332733,0.9599451422691345,0.6404638290405273,0.4432823061943054,-0.36519303917884827,0.9405070543289185,0.6562653183937073,0.5188958048820496,-0.27644863724708557,0.9821133613586426,0.6501367688179016,0.5139228701591492,-0.31637343764305115,0.9736469388008118,0.6265004277229309,0.4422040581703186,-0.1288464069366455,0.9978451728820801,0.5501376986503601,0.47136390209198,-0.38371625542640686,0.9966994524002075,0.6184605360031128,0.6089857220649719,-0.051311153918504715,0.7237008810043335,0.46493446826934814,0.636497974395752,-0.4177737832069397,0.9414318203926086,0.6093987226486206,0.7748961448669434,-0.11571457982063293,0.8880228996276855,0.4993411600589752,0.7958069443702698,-0.3801683783531189,0.91591477394104,0.6333634853363037,0.785018265247345,-0.13981519639492035,0.8605486750602722,0.5145351886749268,0.8158511519432068,-0.42856308817863464,0.8936585187911987,0.6300709247589111,0.7884495258331299,-0.1781327873468399,0.8696526885032654,0.5295192003250122,0.8089820146560669,-0.42213720083236694,0.8929319977760315,0.6143119931221008,0.7872413396835327,-0.13520748913288116,0.870998203754425,0.5237792730331421,0.8034158945083618,-0.3824464976787567,0.8783179521560669,0.36800438165664673,0.49847084283828735,0.10566499084234238,0.979429304599762,0.3360489308834076,0.5013918876647949,-0.10585100203752518,0.9882261753082275,0.2572057843208313,0.5859898328781128,0.28108537197113037,0.3413078486919403,0.22817851603031158,0.5854114890098572,0.09938906133174896,0.8211618661880493,0.133669912815094,0.6253910660743713,0.46447232365608215,0.5030677914619446,0.09191032499074936,0.6287764310836792,0.2542789578437805,0.7666053771972656,0.1088411882519722,0.6181250810623169,0.482596218585968,0.5217270255088806,0.06452786177396774,0.6217879056930542,0.26834094524383545,0.720565915107727,0.13899357616901398,0.7082722783088684,0.4758251905441284,0.6597627401351929,0.10538354516029358,0.7173392176628113,0.2189968228340149,0.7511858344078064
